SYMBOL CODE,BLANK SALE VOLUME,BLANK SALE VALUE (As per Futures Market Closing Price),OPEN INTEREST VOLUME,OPEN INTEREST VALUE (As per Futures Market Closing price),FREE FLOAT,*BLANK SALE AS PERCENTAGE OF OPEN INTEREST,*BLANK SALE AS PERCENTAGE OF FREE FLOAT
ASTL-AUG,105000,5257350,3441500,172315905,74252857,3.051,0.1414
ATRL-AUG,1051325,172774750,2852500,468779850,42646500,36.8563,2.4652
AVN-AUG,420144,25196036,2670500,160149885,58213012,15.7328,0.7217
BAFL-AUG,4000,155800,1053000,41014350,710866048,0.3799,0.0006
BAHL-AUG,500,32285,2500,161425,722426520,20,0.0001
BOP-AUG,267500,2728500,11141000,113638200,1115986617,2.401,0.024
CHCC-AUG,512496,66598855,1586500,206165675,106862271,32.3036,0.4796
DGKC-AUG,1114000,117649540,11630500,1228297105,219059559,9.5783,0.5085
DOL-AUG,30000,938100,1460000,45654200,37722217,2.0548,0.0795
EFERT-AUG,2000,136740,1009000,68985330,600884719,0.1982,0.0003
ENGRO-AUG,16500,5172255,464000,145450080,316889777,3.556,0.0052
EPCL-AUG,29000,890010,1752500,53784225,318123167,1.6548,0.0091
FCCL-AUG,333000,7086240,5219000,111060320,758898264,6.3805,0.0439
FFBL-AUG,343000,6966330,1210000,24575100,326938500,28.3471,0.1049
FFL-AUG,52000,688480,10069000,133313560,158522158,0.5164,0.0328
GATM-AUG,36000,1296720,666000,23989320,128338389,5.4054,0.0281
GHNI-AUG,318600,92397186,1349500,391368495,12782653,23.6087,2.4924
GHNL-AUG,47500,5397425,722000,82040860,19950875,6.5789,0.2381
GTYR-AUG,107479,8824026,595000,48849500,42676673,18.0637,0.2518
HASCOL-AUG,8341902,125295368,25781000,387230620,599472408,32.3568,1.3915
HBL-AUG,13300,1697878,675000,86170500,733426254,1.9704,0.0018
INIL-AUG,65990,8772051,1385500,184174515,59346846,4.7629,0.1112
ISL-AUG,364417,27192797,4992000,372503040,130500000,7.3,0.2792
KAPCO-AUG,78500,2049635,3902000,101881220,455719113,2.0118,0.0172
KEL-AUG,473499,1761416,7296500,27142980,2761519425,6.4894,0.0171
KOHC-AUG,8400,1411200,67000,11256000,60258389,12.5373,0.0139
LOTCHEM-AUG,6000,78420,1902500,24865675,378551802,0.3154,0.0016
LUCK-AUG,192655,116901127,1099000,666862210,129350000,17.53,0.1489
MCB-AUG,2292,415058,106500,19286085,414771002,2.1521,0.0006
MEBL-AUG,10000,854100,503000,42961230,321527906,1.9881,0.0031
MLCF-AUG,1936351,68643643,19286500,683706425,494255804,10.0399,0.3918
MUGHAL-AUG,100429,6625301,1294500,85398165,62899913,7.7581,0.1597
NBP-AUG,1000,33240,1680000,55843200,506995587,0.0595,0.0002
NCL-AUG,10500,409500,175000,6825000,108053563,6,0.0097
NETSOL-AUG,9500,613605,2237000,144487830,31442923,0.4247,0.0302
NML-AUG,35000,3437350,639000,62756190,158219932,5.4773,0.0221
NRL-AUG,81900,16372629,1251000,250087410,26092455,6.5468,0.3139
OGDC-AUG,67876,7684921,2423500,274388670,645139260,2.8007,0.0105
PAEL-AUG,1068000,38074200,24320000,867008000,248840743,4.3914,0.4292
PIBTL-AUG,184500,2237985,22007000,266944910,893046386,0.8384,0.0207
PIOC-AUG,479400,41736564,3631500,316158390,124931836,13.2012,0.3837
POL-AUG,16030,6549858,88500,36161100,129759509,18.113,0.0124
PPL-AUG,66000,6579540,8599500,857284155,666201713,0.7675,0.0099
PSO-AUG,197225,36622710,2024000,375836560,211262985,9.7443,0.0934
SEARL-AUG,173500,43850390,2545500,643349670,95591360,6.8159,0.1815
SNGP-AUG,1152000,63348480,5441500,299228085,285397499,21.1706,0.4036
SSGC-AUG,3000,43650,2665000,38775750,325063387,0.1126,0.0009
TRG-AUG,8738330,438926316,29805500,1497130265,463582065,29.3178,1.885
UBL-AUG,1000,116290,1703000,198041870,489671875,0.0587,0.0002
UNITY-AUG,2324500,31055320,21403500,285950760,244822500,10.8604,0.9495
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
*Rounded to 4th decimal places.,,,,,,,
